,id,title,var_entries,langs,appellation,acronym,qualifier,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba,name_parts
1400,1400,ayyk mytnyk,"[{'var': 'ayyk mytnyk', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,אייק,,,,מיטניק,,"{""name_part_0"": ""ayyk"", ""name_part_1"": ""mytnyk""}"
1401,1401,ahrn myt`lmaan,"[{'var': 'ahrn myt`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,אהרן,,,מיטעלמאַן,,,"{""name_part_0"": ""ahrn"", ""name_part_1"": ""myt`lmaan""}"
1402,1402,baarys myyd`lmaan,"[{'var': 'baarys myyd`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,באָריס,,,מיידעלמאַן,,,"{""name_part_0"": ""baarys"", ""name_part_1"": ""myyd`lmaan""}"
1403,1403,nhmn myyzyl,"[{'var': 'nhmn myyzyl', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,נחמן,,,מייזיל,,,"{""name_part_0"": ""nhmn"", ""name_part_1"": ""myyzyl""}"
1404,1404,b`laa myyz`l,"[{'var': 'b`laa myyz`l', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,בּעלאַ,,,מייזעל,בּעלאַ מייזעל,,"{""name_part_0"": ""b`laa"", ""name_part_1"": ""myyz`l""}"
1405,1405,hyymaan (hyym) myyz`l,"[{'var': 'hyymaan (hyym) myyz`l', 'src': 'ds', 'lang': 'en'}]",['en'],,,,היימאַן,,,,,,חיים,,,מייזעל,,,"{""name_part_0"": ""hyymaan"", ""name_part_1"": ""(hyym)"", ""name_part_2"": ""myyz`l""}"
1406,1406,aabysh myyz`ls,"[{'var': 'aabysh myyz`ls', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,אַבּיש,,,מייזעלס,,,"{""name_part_0"": ""aabysh"", ""name_part_1"": ""myyz`ls""}"
1407,1407,klaaraa (prydhaap`r) myyz`ls,"[{'var': 'klaaraa (prydhaap`r) myyz`ls', 'src': 'ds', 'lang': 'en'}]",['en'],,,,פרידהאָפער,,,,,,,,,מייזּעלס,קלאַראַ,,"{""name_part_0"": ""klaaraa"", ""name_part_1"": ""(prydhaap`r)"", ""name_part_2"": ""myyz`ls""}"
1408,1408,gr`ta myy`r,"[{'var': 'gr`ta myy`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,גרעטא,,,מייער,גרעטא מייער,,"{""name_part_0"": ""gr`ta"", ""name_part_1"": ""myy`r""}"
1409,1409,h`nykh myy`r,"[{'var': 'h`nykh myy`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,העניך,,,מייער,העניך מייער,,"{""name_part_0"": ""h`nykh"", ""name_part_1"": ""myy`r""}"
1410,1410,maarrys (mshh) myy`r,"[{'var': 'maarrys (mshh) myy`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מאָרריס,,,,,,משה,,,מייער,,,"{""name_part_0"": ""maarrys"", ""name_part_1"": ""(mshh)"", ""name_part_2"": ""myy`r""}"
1411,1411,dvd myy`raavvytsh,"[{'var': 'dvd myy`raavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,דוד,,,מייעראָוויטש,,,"{""name_part_0"": ""dvd"", ""name_part_1"": ""myy`raavvytsh""}"
1412,1412,t`sy (tvyb` shtaark) myy`raavvytsh,"[{'var': 't`sy (tvyb` shtaark) myy`raavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,טויבּע שטאַרק,,,,,,טעסי,,,מייעראָוויטש,,,"{""name_part_0"": ""t`sy"", ""name_part_1"": ""(tvyb`"", ""name_part_2"": ""shtaark)"", ""name_part_3"": ""myy`raavvytsh""}"
1413,1413,lyaas` myy`rsaan,"[{'var': 'lyaas` myy`rsaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,ליאָסע,,,מייערסון,ליאָסע מייערסון,,"{""name_part_0"": ""lyaas`"", ""name_part_1"": ""myy`rsaan""}"
1414,1414,m. l. myy`rsaan,"[{'var': 'm. l. myy`rsaan', 'src': 'ds', 'lang': 'en'}]",['en'],,מ. ל.,,,,,,,,,,,מייערסון,,,"{""name_part_0"": ""m."", ""name_part_1"": ""l."", ""name_part_2"": ""myy`rsaan""}"
