id,title,name_parts,lang,phoneme,name_part_given-name,name_part_middle-name,name_part_surname,name_part_salutation,name_part_patronymic,name_part_professional-name,name_part_maiden-surname,name_part_nisba,name_part_given-name_phoneme,name_part_middle-name_phoneme,name_part_surname_phoneme,name_part_salutation_phoneme,name_part_patronymic_phoneme,name_part_professional-name_phoneme,name_part_maiden-surname_phoneme,name_part_nisba_phoneme,name_part_alternative-name,name_part_alternative-name_phoneme,name_part_qualifier,name_part_honorific,name_part_qualifier_phoneme,name_part_honorific_phoneme,primary-name,matronymic,teknonym,professional-name,surname,acronym,appellation,nisba,salutation,middle-name,alternative-name,patronymic,honorific,qualifier,given-name,maiden-surname
592,sylvia fishman,"{""given-name"": ""sylvia"", ""surname"": ""fishman""}",en,sˈɪlvjə fˈɪʃmən,sylvia,,fishman,,,,,,sˈɪlvjə,,fˈɪʃmən,,,,,,,,,,,,,,,,Fishman,,,,,,,,,,Sylvia,
593,yakov fishman,"{""given-name"": ""yakov"", ""surname"": ""fishman""}",en,jˈækəʊv fˈɪʃmən,yakov,,fishman,,,,,,jˈækəʊv,,fˈɪʃmən,,,,,,,,,,,,,,,,Fishman,,,,,,,,,,Yakov,
594,yosef fishman,"{""given-name"": ""yosef"", ""surname"": ""fishman""}",en,jˈəʊsf fˈɪʃmən,yosef,,fishman,,,,,,jˈəʊsf,,fˈɪʃmən,,,,,,,,,,,,,,,,Fishman,,,,,,,,,,Yosef,
595,jacobo flapan,"{""given-name"": ""jacobo"", ""surname"": ""flapan""}",en,d|ʒækə|ʊbə|ʊ flˈæpæn,jacobo,,flapan,,,,,,d|ʒækə|ʊbə|ʊ,,flˈæpæn,,,,,,,,,,,,,,,,Flapan,,,,,,,,,,Jacobo,
596,sarah flaum,"{""given-name"": ""sarah"", ""surname"": ""flaum""}",en,sˈɑːə flˈæəm,sarah,,flaum,,,,,,sˈɑːə,,flˈæəm,,,,,,,,,,,,,,,,Flaum,,,,,,,,,,Sarah,
597,manny fleischman,"{""given-name"": ""manny"", ""surname"": ""fleischman""}",en,mˈænɪ flˈɛʒɲmən,manny,,fleischman,,,,,,mˈænɪ,,flˈɛʒɲmən,,,,,,,,,,,,,,,,Fleischman,,,,,,,,,,Manny,
598,[?] fleisig,"{""given-name"": ""?"", ""surname"": ""fleisig""}",en,flˈɛʒɪɡ,?,,fleisig,,,,,,,,flˈɛʒɪɡ,,,,,,,,,,,,,,,,Fleisig,,,,,,,,,,?,
599,leah floym,"{""given-name"": ""leah"", ""surname"": ""floym""}",en,lə flɔɪm,leah,,floym,,,,,,lə,,flɔɪm,,,,,,,,,,,,,,,,Floym,,,,,,,,,,Leah,
600,andzha foderman,"{""given-name"": ""andzha"", ""surname"": ""foderman""}",en,ənzə fˈɒdɜːmən,andzha,,foderman,,,,,,ənzə,,fˈɒdɜːmən,,,,,,,,,,,,,,,,Foderman,,,,,,,,,,Andzha,
601,l. fogelman,"{""given-name"": ""l."", ""surname"": ""fogelman""}",en,l fˈɒɡl̩mən,l.,,fogelman,,,,,,l,,fˈɒɡl̩mən,,,,,,,,,,,,,,,,Fogelman,,,,,,,,,,L.,
602,feliks fogelnest,"{""given-name"": ""feliks"", ""surname"": ""fogelnest""}",en,fəlɪks fˈɒɡl̩nɪst,feliks,,fogelnest,,,,,,fəlɪks,,fˈɒɡl̩nɪst,,,,,,,,,,,,,,,,Fogelnest,,,,,,,,,,Feliks,
603,pauline fogelnest,"{""given-name"": ""pauline"", ""surname"": ""fogelnest""}",en,pˈɔːlaɪn fˈɒɡl̩nɪst,pauline,,fogelnest,,,,,,pˈɔːlaɪn,,fˈɒɡl̩nɪst,,,,,,,,,,,,,,,,Fogelnest,,,,,,,,,,Pauline,
604,sam fogelnest,"{""given-name"": ""sam"", ""surname"": ""fogelnest""}",en,sæm fˈɒɡl̩nɪst,sam,,fogelnest,,,,,,sæm,,fˈɒɡl̩nɪst,,,,,,,,,,,,,,,,Fogelnest,,,,,,,,,,Sam,
605,foystilnik,{},en,fˈɔɪstɪlnɪk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,abraham frank,"{""given-name"": ""abraham"", ""surname"": ""frank""}",en,əbɻəhæm fɻˈæŋk,abraham,,frank,,,,,,əbɻəhæm,,fɻˈæŋk,,,,,,,,,,,,,,,,Frank,,,,,,,,,,Abraham,
607,bela frank,"{""given-name"": ""bela"", ""surname"": ""frank""}",en,bɪlə fɻˈæŋk,bela,,frank,,,,,,bɪlə,,fɻˈæŋk,,,,,,,,,,,,,,,,Frank,,,,,,,,,,Bela,
608,chana frank,"{""given-name"": ""chana"", ""surname"": ""frank""}",en,ɲˈɑːnə fɻˈæŋk,chana,,frank,,,,,,ɲˈɑːnə,,fɻˈæŋk,,,,,,,,,,,,,,,,Frank,,,,,,,,,,Chana,
609,ezriel natan frank,"{""given-name"": ""ezriel"", ""middle-name"": ""natan"", ""surname"": ""frank""}",en,ɪɹiɛɫ ne|ɪtən fɻˈæŋk,ezriel,natan,frank,,,,,,ɪɹiɛɫ,ne|ɪtən,fɻˈæŋk,,,,,,,,,,,,,,,,Frank,,,,,Natan,,,,,Ezriel,
610,jacob frank,"{""given-name"": ""jacob"", ""surname"": ""frank""}",en,dʒˈækɒb fɻˈæŋk,jacob,,frank,,,,,,dʒˈækɒb,,fɻˈæŋk,,,,,,,,,,,,,,,,Frank,,,,,,,,,,Jacob,
611,nathan frank,"{""given-name"": ""nathan"", ""surname"": ""frank""}",en,nəθn̩ fɻˈæŋk,nathan,,frank,,,,,,nəθn̩,,fɻˈæŋk,,,,,,,,,,,,,,,,Frank,,,,,,,,,,Nathan,
612,lazar freed,"{""given-name"": ""lazar"", ""surname"": ""freed""}",en,lˈæzəɜ˞ fɻˈiːd,lazar,,freed,,,,,,lˈæzəɜ˞,,fɻˈiːd,,,,,,,,,,,,,,,,Freed,,,,,,,,,,Lazar,
613,israel freedman,"{""given-name"": ""israel"", ""surname"": ""freedman""}",en,ˈɪzreɪl friːdmæn,israel,,freedman,,,,,,ˈɪzreɪl,,friːdmæn,,,,,,,,,,,,,,,,Freedman,,,,,,,,,,Israel,
614,adolph freeman,"{""given-name"": ""adolph"", ""surname"": ""freeman""}",en,ədɒlf fɻˈiːmən,adolph,,freeman,,,,,,ədɒlf,,fɻˈiːmən,,,,,,,,,,,,,,,,Freeman,,,,,,,,,,Adolph,
615,anna freeman,"{""given-name"": ""anna"", ""surname"": ""freeman""}",en,ˈænə fɻˈiːmən,anna,,freeman,,,,,,ˈænə,,fɻˈiːmən,,,,,,,,,,,,,,,,Freeman,,,,,,,,,,Anna,
616,flora freiman,"{""given-name"": ""flora"", ""surname"": ""freiman""}",en,flˈɔːɻə fremən,flora,,freiman,,,,,,flˈɔːɻə,,fremən,,,,,,,,,,,,,,,,Freiman,,,,,,,,,,Flora,
617,louis freiman,"{""given-name"": ""louis"", ""surname"": ""freiman""}",en,laʊɪz fremən,louis,,freiman,,,,,,laʊɪz,,fremən,,,,,,,,,,,,,,,,Freiman,,,,,,,,,,Louis,
618,barukh frenkel,"{""given-name"": ""barukh"", ""surname"": ""frenkel""}",en,bˈæɻˈuːk fɻˈɛŋkl̩,barukh,,frenkel,,,,,,bˈæɻˈuːk,,fɻˈɛŋkl̩,,,,,,,,,,,,,,,,Frenkel,,,,,,,,,,Barukh,
619,yitzhak frenkel,"{""given-name"": ""yitzhak"", ""surname"": ""frenkel""}",en,jˈɪtsɑːk fɻˈɛŋkl̩,yitzhak,,frenkel,,,,,,jˈɪtsɑːk,,fɻˈɛŋkl̩,,,,,,,,,,,,,,,,Frenkel,,,,,,,,,,Yitzhak,
620,anita freundlich-sheff,"{""given-name"": ""anita"", ""surname"": ""freundlich-sheff""}",en,ˈænɪtə fɻˈʌndl̩ɪdʒʃɪf,anita,,freundlich-sheff,,,,,,ˈænɪtə,,fɻˈʌndl̩ɪdʒʃɪf,,,,,,,,,,,,,,,,Freundlich-Sheff,,,,,,,,,,Anita,
621,emil frides,"{""given-name"": ""emil"", ""surname"": ""frides""}",en,ˈɛmɪl fɻˈaɪdz,emil,,frides,,,,,,ˈɛmɪl,,fɻˈaɪdz,,,,,,,,,,,,,,,,Frides,,,,,,,,,,Emil,
622,[?] fridman,"{""given-name"": ""?"", ""surname"": ""fridman""}",en,fɻˈɪdmən,?,,fridman,,,,,,,,fɻˈɪdmən,,,,,,,,,,,,,,,,Fridman,,,,,,,,,,?,
623,feyvele fridman,"{""given-name"": ""feyvele"", ""surname"": ""fridman""}",en,feɪvl fɻˈɪdmən,feyvele,,fridman,,,,,,feɪvl,,fɻˈɪdmən,,,,,,,,,,,,,,,,Fridman,,,,,,,,,,Feyvele,
624,henekh fridman,"{""given-name"": ""henekh"", ""surname"": ""fridman""}",en,hˈiːnk fɻˈɪdmən,henekh,,fridman,,,,,,hˈiːnk,,fɻˈɪdmən,,,,,,,,,,,,,,,,Fridman,,,,,,,,,,Henekh,
625,itzhak fridman,"{""given-name"": ""itzhak"", ""surname"": ""fridman""}",en,ˈɪtsɑːk fɻˈɪdmən,itzhak,,fridman,,,,,,ˈɪtsɑːk,,fɻˈɪdmən,,,,,,,,,,,,,,,,Fridman,,,,,,,,,,Itzhak,
626,leyb fridman,"{""given-name"": ""leyb"", ""surname"": ""fridman""}",en,lɪb fɻˈɪdmən,leyb,,fridman,,,,,,lɪb,,fɻˈɪdmən,,,,,,,,,,,,,,,,Fridman,,,,,,,,,,Leyb,
627,michal fridman,"{""given-name"": ""michal"", ""surname"": ""fridman""}",en,mˈiːʃl̩ fɻˈɪdmən,michal,,fridman,,,,,,mˈiːʃl̩,,fɻˈɪdmən,,,,,,,,,,,,,,,,Fridman,,,,,,,,,,Michal,
628,sara fridman,"{""given-name"": ""sara"", ""surname"": ""fridman""}",en,sˈæɻə fɻˈɪdmən,sara,,fridman,,,,,,sˈæɻə,,fɻˈɪdmən,,,,,,,,,,,,,,,,Fridman,,,,,,,,,,Sara,
629,y. fried,"{""given-name"": ""y."", ""surname"": ""fried""}",en,jˈiː fɻˈaɪd,y.,,fried,,,,,,jˈiː,,fɻˈaɪd,,,,,,,,,,,,,,,,Fried,,,,,,,,,,Y.,
630,edward friedlander,"{""given-name"": ""edward"", ""surname"": ""friedlander""}",en,ɛdwəd fɻˈɛdləndəɜ˞,edward,,friedlander,,,,,,ɛdwəd,,fɻˈɛdləndəɜ˞,,,,,,,,,,,,,,,,Friedlander,,,,,,,,,,Edward,
631,max friedlander,"{""given-name"": ""max"", ""surname"": ""friedlander""}",en,mæk|s fɻˈɛdləndəɜ˞,max,,friedlander,,,,,,mæk|s,,fɻˈɛdləndəɜ˞,,,,,,,,,,,,,,,,Friedlander,,,,,,,,,,Max,
