id,title,name_parts,lang,phoneme,name_part_given-name,name_part_middle-name,name_part_surname,name_part_salutation,name_part_patronymic,name_part_professional-name,name_part_maiden-surname,name_part_nisba,name_part_given-name_phoneme,name_part_middle-name_phoneme,name_part_surname_phoneme,name_part_salutation_phoneme,name_part_patronymic_phoneme,name_part_professional-name_phoneme,name_part_maiden-surname_phoneme,name_part_nisba_phoneme,name_part_alternative-name,name_part_alternative-name_phoneme,name_part_qualifier,name_part_honorific,name_part_qualifier_phoneme,name_part_honorific_phoneme,primary-name,matronymic,teknonym,professional-name,surname,acronym,appellation,nisba,salutation,middle-name,alternative-name,patronymic,honorific,qualifier,given-name,maiden-surname
1177,elias lazarov,"{""given-name"": ""elias"", ""surname"": ""lazarov""}",en,ˈiːljəz lˈæzəɻˈəʊv,elias,,lazarov,,,,,,ˈiːljəz,,lˈæzəɻˈəʊv,,,,,,,,,,,,,,,,Lazarov,,,,,,,,,,Elias,
1178,feige lazarov,"{""given-name"": ""feige"", ""surname"": ""lazarov""}",en,fˈeɪʒ lˈæzəɻˈəʊv,feige,,lazarov,,,,,,fˈeɪʒ,,lˈæzəɻˈəʊv,,,,,,,,,,,,,,,,Lazarov,,,,,,,,,,Feige,
1179,aaron lebedeff,"{""given-name"": ""aaron"", ""surname"": ""lebedeff""}",en,ɑɹn̩ lˈiːbdf,aaron,,lebedeff,,,,,,ɑɹn̩,,lˈiːbdf,,,,,,,,,,,,,,,,Lebedeff,,,,,,,,,,Aaron,
1180,vera lebedeff,"{""given-name"": ""vera"", ""surname"": ""lebedeff""}",en,vˈɛɻə lˈiːbdf,vera,,lebedeff,,,,,,vˈɛɻə,,lˈiːbdf,,,,,,,,,,,,,,,,Lebedeff,,,,,,,,,,Vera,
1181,der lebediger,"{""alternative-name"": ""der lebediger""}",en,dəɜ˞ lˈɛbˈiːdaɪdʒəɜ˞,,,,,,,,,,,,,,,,,der lebediger,dəɜ˞ lˈɛbˈiːdaɪdʒəɜ˞,,,,,,,,,,,,,,,Der Lebediger,,,,,
1182,david lederman,"{""given-name"": ""david"", ""surname"": ""lederman""}",en,dævɪd lˈɛdɜːmən,david,,lederman,,,,,,dævɪd,,lˈɛdɜːmən,,,,,,,,,,,,,,,,Lederman,,,,,,,,,,David,
1183,henni lehman,"{""given-name"": ""henni"", ""surname"": ""lehman""}",en,hɛnɪ lmən,henni,,lehman,,,,,,hɛnɪ,,lmən,,,,,,,,,,,,,,,,Lehman,,,,,,,,,,Henni,
1184,adolf lehrer,"{""given-name"": ""adolf"", ""surname"": ""lehrer""}",en,ədˈɒlf lɻəɜ˞,adolf,,lehrer,,,,,,ədˈɒlf,,lɻəɜ˞,,,,,,,,,,,,,,,,Lehrer,,,,,,,,,,Adolf,
1185,zalman lehrer,"{""given-name"": ""zalman"", ""surname"": ""lehrer""}",en,zˈælmən lɻəɜ˞,zalman,,lehrer,,,,,,zˈælmən,,lɻəɜ˞,,,,,,,,,,,,,,,,Lehrer,,,,,,,,,,Zalman,
1186,daniel leibel,"{""given-name"": ""daniel"", ""surname"": ""leibel""}",en,dˈænjəl lˈaɪbəl,daniel,,leibel,,,,,,dˈænjəl,,lˈaɪbəl,,,,,,,,,,,,,,,,Leibel,,,,,,,,,,Daniel,
1187,david leibovitsh,"{""given-name"": ""david"", ""surname"": ""leibovitsh""}",en,dævɪd lˈaɪbə|ʊva|ɪtʃ,david,,leibovitsh,,,,,,dævɪd,,lˈaɪbə|ʊva|ɪtʃ,,,,,,,,,,,,,,,,Leibovitsh,,,,,,,,,,David,
1188,herts leibovitsh,"{""given-name"": ""herts"", ""surname"": ""leibovitsh""}",en,hˈɜːts lˈaɪbə|ʊva|ɪtʃ,herts,,leibovitsh,,,,,,hˈɜːts,,lˈaɪbə|ʊva|ɪtʃ,,,,,,,,,,,,,,,,Leibovitsh,,,,,,,,,,Herts,
1189,moti leibovitsh,"{""given-name"": ""moti"", ""surname"": ""leibovitsh""}",en,mˈəʊtɪ lˈaɪbə|ʊva|ɪtʃ,moti,,leibovitsh,,,,,,mˈəʊtɪ,,lˈaɪbə|ʊva|ɪtʃ,,,,,,,,,,,,,,,,Leibovitsh,,,,,,,,,,Moti,
1190,raytshel leibovitsh,"{""given-name"": ""raytshel"", ""surname"": ""leibovitsh""}",en,ɻˈeɪtʃl̩ lˈaɪbə|ʊva|ɪtʃ,raytshel,,leibovitsh,,,,,,ɻˈeɪtʃl̩,,lˈaɪbə|ʊva|ɪtʃ,,,,,,,,,,,,,,,,Leibovitsh,,,,,,,,,,Raytshel,
1191,tsile leibovitsh,"{""given-name"": ""tsile"", ""surname"": ""leibovitsh""}",en,tsaɪl lˈaɪbə|ʊva|ɪtʃ,tsile,,leibovitsh,,,,,,tsaɪl,,lˈaɪbə|ʊva|ɪtʃ,,,,,,,,,,,,,,,,Leibovitsh,,,,,,,,,,Tsile,
1192,h. leivick,"{""given-name"": ""h."", ""surname"": ""leivick""}",en,hˈiː lˈaɪvɪk,h.,,leivick,,,,,,hˈiː,,lˈaɪvɪk,,,,,,,,,,,,,,,,Leivick,,,,,,,,,,H.,
1193,bertha lelchuk,"{""given-name"": ""bertha"", ""surname"": ""lelchuk""}",en,bˈɜːθə lɛltʃj|ˈuːk,bertha,,lelchuk,,,,,,bˈɜːθə,,lɛltʃj|ˈuːk,,,,,,,,,,,,,,,,Lelchuk,,,,,,,,,,Bertha,
1194,s. lemberg,"{""given-name"": ""s."", ""surname"": ""lemberg""}",en,sn̩ lˈɛmbəɡ,s.,,lemberg,,,,,,sn̩,,lˈɛmbəɡ,,,,,,,,,,,,,,,,Lemberg,,,,,,,,,,S.,
1195,leibush lensky,"{""given-name"": ""leibush"", ""surname"": ""lensky""}",en,lˈaɪbʊʃ lˈɛnskɪ,leibush,,lensky,,,,,,lˈaɪbʊʃ,,lˈɛnskɪ,,,,,,,,,,,,,,,,Lensky,,,,,,,,,,Leibush,
1196,vampira leoneska,"{""given-name"": ""vampira"", ""surname"": ""leoneska""}",en,vˈæmpɪrə liːə|ʊnskə,vampira,,leoneska,,,,,,vˈæmpɪrə,,liːə|ʊnskə,,,,,,,,,,,,,,,,Leoneska,,,,,,,,,,Vampira,
1197,leonid leonov,"{""given-name"": ""leonid"", ""surname"": ""leonov""}",en,liːə|ʊna|ɪd liːə|ʊnɒf,leonid,,leonov,,,,,,liːə|ʊna|ɪd,,liːə|ʊnɒf,,,,,,,,,,,,,,,,Leonov,,,,,,,,,,Leonid,
1198,miriam lerer,"{""given-name"": ""miriam"", ""surname"": ""lerer""}",en,mˈɪɻɪəm ləɻəɜ˞,miriam,,lerer,,,,,,mˈɪɻɪəm,,ləɻəɜ˞,,,,,,,,,,,,,,,,Lerer,,,,,,,,,,Miriam,
1199,shifra lerer,"{""given-name"": ""shifra"", ""surname"": ""lerer""}",en,ʃˈɪfɻə ləɻəɜ˞,shifra,,lerer,,,,,,ʃˈɪfɻə,,ləɻəɜ˞,,,,,,,,,,,,,,,,Lerer,,,,,,,,,,Shifra,
1200,adela leresko,"{""given-name"": ""adela"", ""surname"": ""leresko""}",en,ədɛlə lˈɪəskəʊ,adela,,leresko,,,,,,ədɛlə,,lˈɪəskəʊ,,,,,,,,,,,,,,,,Leresko,,,,,,,,,,Adela,
1201,samuel leresko,"{""given-name"": ""samuel"", ""surname"": ""leresko""}",en,sˈæmʊəl lˈɪəskəʊ,samuel,,leresko,,,,,,sˈæmʊəl,,lˈɪəskəʊ,,,,,,,,,,,,,,,,Leresko,,,,,,,,,,Samuel,
1202,eliyahu lerman,"{""given-name"": ""eliyahu"", ""surname"": ""lerman""}",en,ɪɫiəuː ləmən,eliyahu,,lerman,,,,,,ɪɫiəuː,,ləmən,,,,,,,,,,,,,,,,Lerman,,,,,,,,,,Eliyahu,
1203,chana lerner,"{""given-name"": ""chana"", ""surname"": ""lerner""}",en,ɲˈɑːnə lˈɜːnəɜ˞,chana,,lerner,,,,,,ɲˈɑːnə,,lˈɜːnəɜ˞,,,,,,,,,,,,,,,,Lerner,,,,,,,,,,Chana,
1204,joseph judah lerner,"{""given-name"": ""joseph"", ""middle-name"": ""judah"", ""surname"": ""lerner""}",en,dʒˈəʊzf d|ʒuːdə lˈɜːnəɜ˞,joseph,judah,lerner,,,,,,dʒˈəʊzf,d|ʒuːdə,lˈɜːnəɜ˞,,,,,,,,,,,,,,,,Lerner,,,,,Judah,,,,,Joseph,
1205,maria lerner,"{""given-name"": ""maria"", ""surname"": ""lerner""}",en,mˈɑːɻɪə lˈɜːnəɜ˞,maria,,lerner,,,,,,mˈɑːɻɪə,,lˈɜːnəɜ˞,,,,,,,,,,,,,,,,Lerner,,,,,,,,,,Maria,
1206,yakov lerner,"{""given-name"": ""yakov"", ""surname"": ""lerner""}",en,jˈækəʊv lˈɜːnəɜ˞,yakov,,lerner,,,,,,jˈækəʊv,,lˈɜːnəɜ˞,,,,,,,,,,,,,,,,Lerner,,,,,,,,,,Yakov,
1207,yeshayahu lerner,"{""given-name"": ""yeshayahu"", ""surname"": ""lerner""}",en,jɪʃˈeɪəuː lˈɜːnəɜ˞,yeshayahu,,lerner,,,,,,jɪʃˈeɪəuː,,lˈɜːnəɜ˞,,,,,,,,,,,,,,,,Lerner,,,,,,,,,,Yeshayahu,
1208,joseph lessing,"{""given-name"": ""joseph"", ""surname"": ""lessing""}",en,dʒˈəʊzf lɛsɪŋ,joseph,,lessing,,,,,,dʒˈəʊzf,,lɛsɪŋ,,,,,,,,,,,,,,,,Lessing,,,,,,,,,,Joseph,
1209,zygmunt lev,"{""given-name"": ""zygmunt"", ""surname"": ""lev""}",en,za|ɪgmʌnt ɫɛv,zygmunt,,lev,,,,,,za|ɪgmʌnt,,ɫɛv,,,,,,,,,,,,,,,,Lev,,,,,,,,,,Zygmunt,
1210,feyga levando,"{""given-name"": ""feyga"", ""surname"": ""levando""}",en,feɪɡə lɪvˈændəʊ,feyga,,levando,,,,,,feɪɡə,,lɪvˈændəʊ,,,,,,,,,,,,,,,,Levando,,,,,,,,,,Feyga,
1211,avraham levebrovski,"{""given-name"": ""avraham"", ""surname"": ""levebrovski""}",en,əvɻəhæm lˈɛvbɹuvskiː,avraham,,levebrovski,,,,,,əvɻəhæm,,lˈɛvbɹuvskiː,,,,,,,,,,,,,,,,Levebrovski,,,,,,,,,,Avraham,
1212,leah levebrovski,"{""given-name"": ""leah"", ""surname"": ""levebrovski""}",en,lə lˈɛvbɹuvskiː,leah,,levebrovski,,,,,,lə,,lˈɛvbɹuvskiː,,,,,,,,,,,,,,,,Levebrovski,,,,,,,,,,Leah,
1213,fannie levenshteyn,"{""given-name"": ""fannie"", ""surname"": ""levenshteyn""}",en,fˈænɪ lˈɛvn̩ʃtɪn,fannie,,levenshteyn,,,,,,fˈænɪ,,lˈɛvn̩ʃtɪn,,,,,,,,,,,,,,,,Levenshteyn,,,,,,,,,,Fannie,
1214,david levenson,"{""given-name"": ""david"", ""surname"": ""levenson""}",en,dævɪd lˈɛvn̩sɒn,david,,levenson,,,,,,dævɪd,,lˈɛvn̩sɒn,,,,,,,,,,,,,,,,Levenson,,,,,,,,,,David,
1215,jacob levenson,"{""given-name"": ""jacob"", ""surname"": ""levenson""}",en,dʒˈækɒb lˈɛvn̩sɒn,jacob,,levenson,,,,,,dʒˈækɒb,,lˈɛvn̩sɒn,,,,,,,,,,,,,,,,Levenson,,,,,,,,,,Jacob,
1216,isidor levenstein,"{""given-name"": ""isidor"", ""surname"": ""levenstein""}",en,ˈaɪsɪdɔːɜ˞ lˈɛvənsteɪn,isidor,,levenstein,,,,,,ˈaɪsɪdɔːɜ˞,,lˈɛvənsteɪn,,,,,,,,,,,,,,,,Levenstein,,,,,,,,,,Isidor,
1217,alter levin,"{""given-name"": ""alter"", ""surname"": ""levin""}",en,ˈɔːltəɜ˞ lˈɛvɪn,alter,,levin,,,,,,ˈɔːltəɜ˞,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Alter,
1218,avraham levin,"{""given-name"": ""avraham"", ""surname"": ""levin""}",en,əvɻəhæm lˈɛvɪn,avraham,,levin,,,,,,əvɻəhæm,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Avraham,
1219,avraham levin,"{""given-name"": ""avraham"", ""surname"": ""levin""}",en,əvɻəhæm lˈɛvɪn,avraham,,levin,,,,,,əvɻəhæm,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Avraham,
1220,chana levin,"{""given-name"": ""chana"", ""surname"": ""levin""}",en,ɲˈɑːnə lˈɛvɪn,chana,,levin,,,,,,ɲˈɑːnə,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Chana,
1221,david levin,"{""given-name"": ""david"", ""surname"": ""levin""}",en,dævɪd lˈɛvɪn,david,,levin,,,,,,dævɪd,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,David,
1222,harry levin,"{""given-name"": ""harry"", ""surname"": ""levin""}",en,hˈæɻɪ lˈɛvɪn,harry,,levin,,,,,,hˈæɻɪ,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Harry,
1223,julia levin,"{""given-name"": ""julia"", ""surname"": ""levin""}",en,dʒˈuːlɪə lˈɛvɪn,julia,,levin,,,,,,dʒˈuːlɪə,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Julia,
1224,lucy levin,"{""given-name"": ""lucy"", ""surname"": ""levin""}",en,ɫusi lˈɛvɪn,lucy,,levin,,,,,,ɫusi,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Lucy,
1225,neytan levin,"{""given-name"": ""neytan"", ""surname"": ""levin""}",en,nɪtən lˈɛvɪn,neytan,,levin,,,,,,nɪtən,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Neytan,
1226,shmuel levin,"{""given-name"": ""shmuel"", ""surname"": ""levin""}",en,ʃmj|uːəl lˈɛvɪn,shmuel,,levin,,,,,,ʃmj|uːəl,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Shmuel,
1227,z. levin,"{""given-name"": ""z."", ""surname"": ""levin""}",en,z lˈɛvɪn,z.,,levin,,,,,,z,,lˈɛvɪn,,,,,,,,,,,,,,,,Levin,,,,,,,,,,Z.,
1228,anna levine,"{""given-name"": ""anna"", ""surname"": ""levine""}",en,ˈænə lɪvaɪn,anna,,levine,,,,,,ˈænə,,lɪvaɪn,,,,,,,,,,,,,,,,Levine,,,,,,,,,,Anna,
1229,abraham levinson,"{""given-name"": ""abraham"", ""surname"": ""levinson""}",en,əbɻəhæm lˈɛvɪnsn̩,abraham,,levinson,,,,,,əbɻəhæm,,lˈɛvɪnsn̩,,,,,,,,,,,,,,,,Levinson,,,,,,,,,,Abraham,
1230,ana levinstein,"{""given-name"": ""ana"", ""surname"": ""levinstein""}",en,ˈænə lˈɛvɪnsteɪn,ana,,levinstein,,,,,,ˈænə,,lˈɛvɪnsteɪn,,,,,,,,,,,,,,,,Levinstein,,,,,,,,,,Ana,
1231,ludvig levinzon,"{""given-name"": ""ludvig"", ""surname"": ""levinzon""}",en,luːdvɪɡ lˈɛvɪnzn̩,ludvig,,levinzon,,,,,,luːdvɪɡ,,lˈɛvɪnzn̩,,,,,,,,,,,,,,,,Levinzon,,,,,,,,,,Ludvig,
1232,jennie levitas,"{""given-name"": ""jennie"", ""surname"": ""levitas""}",en,dʒˈɛnɪ lˈɛvɪtəz,jennie,,levitas,,,,,,dʒˈɛnɪ,,lˈɛvɪtəz,,,,,,,,,,,,,,,,Levitas,,,,,,,,,,Jennie,
1233,morris levitt,"{""given-name"": ""morris"", ""surname"": ""levitt""}",en,mˈɒɻɪs lˈɛvɪt,morris,,levitt,,,,,,mˈɒɻɪs,,lˈɛvɪt,,,,,,,,,,,,,,,,Levitt,,,,,,,,,,Morris,
1234,gershon-chaim levner,"{""given-name"": ""gershon"", ""middle-name"": ""chaim"", ""surname"": ""levner""}",en,gɝʃɑntʃeɪm lˈɛvnəɜ˞,gershon,chaim,levner,,,,,,gɝʃɑn,tʃeɪm,lˈɛvnəɜ˞,,,,,,,,,,,,,,,,Levner,,,,,Chaim,,,,,Gershon,
1235,jack levy,"{""given-name"": ""jack"", ""surname"": ""levy""}",en,dʒˈæk lˈɛvɪ,jack,,levy,,,,,,dʒˈæk,,lˈɛvɪ,,,,,,,,,,,,,,,,Levy,,,,,,,,,,Jack,
1236,julius levy,"{""given-name"": ""julius"", ""surname"": ""levy""}",en,dʒˈuːljəs lˈɛvɪ,julius,,levy,,,,,,dʒˈuːljəs,,lˈɛvɪ,,,,,,,,,,,,,,,,Levy,,,,,,,,,,Julius,
1237,max levy,"{""given-name"": ""max"", ""surname"": ""levy""}",en,mæk|s lˈɛvɪ,max,,levy,,,,,,mæk|s,,lˈɛvɪ,,,,,,,,,,,,,,,,Levy,,,,,,,,,,Max,
1238,a. leyb,"{""given-name"": ""a."", ""surname"": ""leyb""}",en,ˈeɪ lɪb,a.,,leyb,,,,,,ˈeɪ,,lɪb,,,,,,,,,,,,,,,,Leyb,,,,,,,,,,A.,
1239,dzh. leybner,"{""given-name"": ""dzh."", ""surname"": ""leybner""}",en,dzhˈiː lɪbnəɜ˞,dzh.,,leybner,,,,,,dzhˈiː,,lɪbnəɜ˞,,,,,,,,,,,,,,,,Leybner,,,,,,,,,,Dzh.,
1240,a. leyeles,"{""given-name"": ""a."", ""surname"": ""leyeles""}",en,ˈeɪ laɪliːz,a.,,leyeles,,,,,,ˈeɪ,,laɪliːz,,,,,,,,,,,,,,,,Leyeles,,,,,,,,,,A.,
1241,mark leyptsiker,"{""given-name"": ""mark"", ""surname"": ""leyptsiker""}",en,mɑːk lɪptsˈaɪkəɜ˞,mark,,leyptsiker,,,,,,mɑːk,,lɪptsˈaɪkəɜ˞,,,,,,,,,,,,,,,,Leyptsiker,,,,,,,,,,Mark,
1242,shmuel liampert,"{""given-name"": ""shmuel"", ""surname"": ""liampert""}",en,ʃmj|uːəl lɪˈɑːmpɜːt,shmuel,,liampert,,,,,,ʃmj|uːəl,,lɪˈɑːmpɜːt,,,,,,,,,,,,,,,,Liampert,,,,,,,,,,Shmuel,
1243,bentsion liber,"{""given-name"": ""bentsion"", ""surname"": ""liber""}",en,bˈɛntʒn̩ lˈɪbə*,bentsion,,liber,,,,,,bˈɛntʒn̩,,lˈɪbə*,,,,,,,,,,,,,,,,Liber,,,,,,,,,,Bentsion,
1244,moshe liberman,"{""given-name"": ""moshe"", ""surname"": ""liberman""}",en,mˈɒʃɪ lˈɪbəmən,moshe,,liberman,,,,,,mˈɒʃɪ,,lˈɪbəmən,,,,,,,,,,,,,,,,Liberman,,,,,,,,,,Moshe,
1245,menukha libert,"{""given-name"": ""menukha"", ""surname"": ""libert""}",en,mˈɛnj|uːkə lˈɪbət,menukha,,libert,,,,,,mˈɛnj|uːkə,,lˈɪbət,,,,,,,,,,,,,,,,Libert,,,,,,,,,,Menukha,
1246,sarah l. libert,"{""given-name"": ""sarah"", ""middle-name"": ""l."", ""surname"": ""libert""}",en,sˈɑːə l lˈɪbət,sarah,l.,libert,,,,,,sˈɑːə,l,lˈɪbət,,,,,,,,,,,,,,,,Libert,,,,,L.,,,,,Sarah,
1247,yankev libert,"{""given-name"": ""yankev"", ""surname"": ""libert""}",en,jˈæŋkɪv lˈɪbət,yankev,,libert,,,,,,jˈæŋkɪv,,lˈɪbət,,,,,,,,,,,,,,,,Libert,,,,,,,,,,Yankev,
1248,olya libert-lubotski,"{""given-name"": ""olya"", ""maiden-surname"": ""libert"", ""surname"": ""lubotski""}",en,ˈəʊlɪə lˈɪbətlˈʌbˈɒtskiː,olya,,lubotski,,,,libert,,ˈəʊlɪə,,lˈuːbˈɒtskiː,,,,lˈɪbət,,,,,,,,,,,,Lubotski,,,,,,,,,,Olya,Libert
1249,z. libin,"{""given-name"": ""z."", ""surname"": ""libin""}",en,z lɪbɪn,z.,,libin,,,,,,z,,lɪbɪn,,,,,,,,,,,,,,,,Libin,,,,,,,,,,Z.,
1250,paul libman,"{""given-name"": ""paul"", ""surname"": ""libman""}",en,pˈɔːl lɪbmən,paul,,libman,,,,,,pˈɔːl,,lɪbmən,,,,,,,,,,,,,,,,Libman,,,,,,,,,,Paul,
1251,yitskhok libresko,"{""given-name"": ""yitskhok"", ""surname"": ""libresko""}",en,jˈɪtskho|ʊk lɪbəzkəʊ,yitskhok,,libresko,,,,,,jˈɪtskho|ʊk,,lɪbəzkəʊ,,,,,,,,,,,,,,,,Libresko,,,,,,,,,,Yitskhok,
1252,david licht,"{""given-name"": ""david"", ""surname"": ""licht""}",en,dævɪd lˈaɪkt,david,,licht,,,,,,dævɪd,,lˈaɪkt,,,,,,,,,,,,,,,,Licht,,,,,,,,,,David,
1253,sidney licht,"{""given-name"": ""sidney"", ""surname"": ""licht""}",en,sˈɪdnɪ lˈaɪkt,sidney,,licht,,,,,,sˈɪdnɪ,,lˈaɪkt,,,,,,,,,,,,,,,,Licht,,,,,,,,,,Sidney,
1254,moshe lichtenstein,"{""given-name"": ""moshe"", ""surname"": ""lichtenstein""}",en,mˈɒʃɪ lˈaɪstənsteɪn,moshe,,lichtenstein,,,,,,mˈɒʃɪ,,lˈaɪstənsteɪn,,,,,,,,,,,,,,,,Lichtenstein,,,,,,,,,,Moshe,
1255,b. lidin,"{""given-name"": ""b."", ""surname"": ""lidin""}",en,bˈiː lˈɪdɪn,b.,,lidin,,,,,,bˈiː,,lˈɪdɪn,,,,,,,,,,,,,,,,Lidin,,,,,,,,,,B.,
1256,abraham lieberman,"{""given-name"": ""abraham"", ""surname"": ""lieberman""}",en,əbɻəhæm lˈaɪbəmən,abraham,,lieberman,,,,,,əbɻəhæm,,lˈaɪbəmən,,,,,,,,,,,,,,,,Lieberman,,,,,,,,,,Abraham,
1257,basha liebgold,"{""given-name"": ""basha"", ""surname"": ""liebgold""}",en,bˈæʃə lˈaɪbgo|ʊɫd,basha,,liebgold,,,,,,bˈæʃə,,lˈaɪbgo|ʊɫd,,,,,,,,,,,,,,,,Liebgold,,,,,,,,,,Basha,
1258,leon liebgold,"{""given-name"": ""leon"", ""surname"": ""liebgold""}",en,ljən lˈaɪbgo|ʊɫd,leon,,liebgold,,,,,,ljən,,lˈaɪbgo|ʊɫd,,,,,,,,,,,,,,,,Liebgold,,,,,,,,,,Leon,
1259,zalman liebgold,"{""given-name"": ""zalman"", ""surname"": ""liebgold""}",en,zˈælmən lˈaɪbgo|ʊɫd,zalman,,liebgold,,,,,,zˈælmən,,lˈaɪbgo|ʊɫd,,,,,,,,,,,,,,,,Liebgold,,,,,,,,,,Zalman,
1260,zelig liebgold,"{""given-name"": ""zelig"", ""surname"": ""liebgold""}",en,zˈɛlɪɡ lˈaɪbgo|ʊɫd,zelig,,liebgold,,,,,,zˈɛlɪɡ,,lˈaɪbgo|ʊɫd,,,,,,,,,,,,,,,,Liebgold,,,,,,,,,,Zelig,
1261,moritz lieblich,"{""given-name"": ""moritz"", ""surname"": ""lieblich""}",en,mɒrɪts lˈaɪblˈɪɲ,moritz,,lieblich,,,,,,mɒrɪts,,lˈaɪblˈɪɲ,,,,,,,,,,,,,,,,Lieblich,,,,,,,,,,Moritz,
1262,freydele lifschitz,"{""given-name"": ""freydele"", ""surname"": ""lifschitz""}",en,fɻˈeɪdl lˈɪfskɪts,freydele,,lifschitz,,,,,,fɻˈeɪdl,,lˈɪfskɪts,,,,,,,,,,,,,,,,Lifschitz,,,,,,,,,,Freydele,
1263,hoda lifshits,"{""given-name"": ""hoda"", ""surname"": ""lifshits""}",en,hˈəʊdə lˈɪfʃɪts,hoda,,lifshits,,,,,,hˈəʊdə,,lˈɪfʃɪts,,,,,,,,,,,,,,,,Lifshits,,,,,,,,,,Hoda,
1264,miriam lifshits,"{""given-name"": ""miriam"", ""surname"": ""lifshits""}",en,mˈɪɻɪəm lˈɪfʃɪts,miriam,,lifshits,,,,,,mˈɪɻɪəm,,lˈɪfʃɪts,,,,,,,,,,,,,,,,Lifshits,,,,,,,,,,Miriam,
1265,moyshe lifshits,"{""given-name"": ""moyshe"", ""surname"": ""lifshits""}",en,mɔɪsʃ lˈɪfʃɪts,moyshe,,lifshits,,,,,,mɔɪsʃ,,lˈɪfʃɪts,,,,,,,,,,,,,,,,Lifshits,,,,,,,,,,Moyshe,
1266,lifshits,"{""surname"": ""lifshits""}",en,lˈɪfʃɪts,,,lifshits,,,,,,,,lˈɪfʃɪts,,,,,,,,,,,,,,,,Lifshits,,,,,,,,,,,
1267,likhtenshteyn,"{""surname"": ""likhtenshteyn""}",en,lˈaɪktn̩ʃtɪn,,,likhtenshteyn,,,,,,,,lˈaɪktn̩ʃtɪn,,,,,,,,,,,,,,,,Likhtenshteyn,,,,,,,,,,,
1268,moses leib lilienblum,"{""given-name"": ""moses"", ""middle-name"": ""leib"", ""surname"": ""lilienblum""}",en,mɒsɪz lˈaɪb lˈɪlɪənbləm,moses,leib,lilienblum,,,,,,mɒsɪz,lˈaɪb,lˈɪlɪənbləm,,,,,,,,,,,,,,,,Lilienblum,,,,,Leib,,,,,Moses,
1269,liliput,"{""given-name"": ""liliput""}",en,lˈɪlɪpʌt,liliput,,,,,,,,lˈɪlɪpʌt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liliput,
1270,lilit,"{""given-name"": ""lilit""}",en,lˈɪlɪt,lilit,,,,,,,,lˈɪlɪt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lilit,
1271,ola lilith,"{""given-name"": ""ola"", ""middle-name"": ""lilith""}",en,ə|ʊlə lˈɪlɪθ,ola,lilith,,,,,,,ə|ʊlə,lˈɪlɪθ,,,,,,,,,,,,,,,,,,,,,,Lilith,,,,,Ola,
1272,isidore lillian,"{""given-name"": ""isidore"", ""middle-name"": ""lillian""}",en,ˈaɪsɪdɔː* lˈɪljən,isidore,lillian,,,,,,,ˈaɪsɪdɔː*,lˈɪljən,,,,,,,,,,,,,,,,,,,,,,Lillian,,,,,Isidore,
1273,lilly lilliana,"{""given-name"": ""lilly"", ""middle-name"": ""lilliana""}",en,lˈɪlɪ lɪlɪɑːnə,lilly,lilliana,,,,,,,lˈɪlɪ,lɪlɪɑːnə,,,,,,,,,,,,,,,,,,,,,,Lilliana,,,,,Lilly,
1274,paul liman,"{""given-name"": ""paul"", ""surname"": ""liman""}",en,pˈɔːl lˈiːmən,paul,,liman,,,,,,pˈɔːl,,lˈiːmən,,,,,,,,,,,,,,,,Liman,,,,,,,,,,Paul,
1275,shlomo lindenfeld,"{""given-name"": ""shlomo"", ""surname"": ""lindenfeld""}",en,ʃlˈəʊməʊ lˈaɪndənfld,shlomo,,lindenfeld,,,,,,ʃlˈəʊməʊ,,lˈaɪndənfld,,,,,,,,,,,,,,,,Lindenfeld,,,,,,,,,,Shlomo,
1276,n.b. linder,"{""given-name"": ""n."", ""middle-name"": ""b."", ""surname"": ""linder""}",en,nn|ˈeɪʃ|n̩ lˈaɪndəɜ˞,n.,b.,linder,,,,,,n,bˈiː,lˈaɪndəɜ˞,,,,,,,,,,,,,,,,Linder,,,,,B.,,,,,N.,
1277,henekh linetsky,"{""given-name"": ""henekh"", ""surname"": ""linetsky""}",en,hˈiːnk lˈaɪntskɪ,henekh,,linetsky,,,,,,hˈiːnk,,lˈaɪntskɪ,,,,,,,,,,,,,,,,Linetsky,,,,,,,,,,Henekh,
1278,linetsky,"{""surname"": ""linetsky""}",en,lˈaɪntskɪ,,,linetsky,,,,,,,,lˈaɪntskɪ,,,,,,,,,,,,,,,,Linetsky,,,,,,,,,,,
