id,title,var_entries,langs,appellation,acronym,qualifier,maiden-surname,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba
167,chaim bendel,"[{'var': 'chaim bendel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Chaim,,,Bendel,,
168,a.a. ben-gur,"[{'var': 'a.a. ben-gur', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,A.A.,,Ben-Gur,,,
169,tsvi ben-menachem,"[{'var': 'tsvi ben-menachem', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Tsvi,,Ben-Menachem,,,
170,benedict benzion,"[{'var': 'benedict benzion', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Benedict,,,Benzion,,
171,ber,"[{'var': 'ber', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ber,,,,,
172,ben-zion berdichevsky,"[{'var': 'ben-zion berdichevsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Zion,,Ben-Zion,Berdichevsky,,
173,micha josef berdichevsky,"[{'var': 'micha josef berdichevsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Micha,Josef,,Berdichevsky,,
174,m. berenson,"[{'var': 'm. berenson', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,M.,,,Berenson,,
175,esther berg,"[{'var': 'esther berg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Esther,,,Berg,,
176,rudolf berg,"[{'var': 'rudolf berg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rudolf,,,Berg,,
177,david bergelson,"[{'var': 'david bergelson', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,David,,,Bergelson,,
178,leon berger,"[{'var': 'leon berger', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leon,,,Berger,,
179,rachelle berger,"[{'var': 'rachelle berger', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rachelle,,,Berger,,
180,itsik mendl bergman,"[{'var': 'itsik mendl bergman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Itsik,Mendl,,Bergman,,
181,simcha bergman,"[{'var': 'simcha bergman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Simcha,,,Bergman,,
182,yakov bergolski,"[{'var': 'yakov bergolski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yakov,,,Bergolski,,
183,jacob bergreen,"[{'var': 'jacob bergreen', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jacob,,,Bergreen,,
184,avraham berkovitsh,"[{'var': 'avraham berkovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Berkovitsh,,
