id,title,name_parts,var_entries,langs,nisba,alternative-name,patronymic,surname,middle-name,matronymic,honorific,salutation,primary-name,appellation,professional-name,teknonym,acronym,given-name,qualifier
861,b`ty vvynaavvytsh,"{""given-name"": ""b`ty"", ""surname"": ""vvynaavvytsh""}","[{'var': 'b`ty vvynaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווינאָוויטש,,,,,,,,,,בּעטי,
862,mayr vvynd`r,"{""given-name"": ""mayr"", ""surname"": ""vvynd`r""}","[{'var': 'mayr vvynd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווינדער,,,,,,,,,,מאיר,
863,praanyaa vvynt`r,"{""given-name"": ""praanyaa"", ""surname"": ""vvynt`r""}","[{'var': 'praanyaa vvynt`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווינטער,,,,,,,,,,פראַניאַ,
864,(bntsyvn naavvaakhaavvytsh),"{""given-name"": ""bntsyvn"", ""surname"": ""naavvaakhaavvytsh""}","[{'var': '(bntsyvn naavvaakhaavvytsh)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,נאָוואַכאָוויטש,,,,,,,,,,בנציון,
865,lyyb vvyn`r,"{""given-name"": ""lyyb"", ""surname"": ""vvyn`r""}","[{'var': 'lyyb vvyn`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווינער,,,,,,,,,,לייבּ,
866,lykhtyg`r vvyn`r,"{""primary-name"": ""lykhtyg`r vvynr"", ""surname"": ""vvyn`r"", ""nisba"": ""lykhtyg`r""}","[{'var': 'lykhtyg`r vvyn`r', 'src': 'ds', 'lang': 'en'}]",['en'],ליכטיגער,,,ווינער,,,,,ליכטיגער ווינר,,,,,,
867,lyvbaa (shaaskyn) vvy`syaalaayaa,"{""primary-name"": ""lyvbaa"", ""alternative-name"": ""shaaskyn"", ""surname"": ""vvy`syaalaayaa""}","[{'var': 'lyvbaa (shaaskyn) vvy`syaalaayaa', 'src': 'ds', 'lang': 'en'}]",['en'],,שאָסקין,,וויעסיאָלאַיאַ,,,,,ליובּאַ,,,,,,
868,aydaa vvysaatsky,"{""given-name"": ""aydaa"", ""surname"": ""vvysaatsky""}","[{'var': 'aydaa vvysaatsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויסאָצקי,,,,,,,,,,אידאַ,
869,maaks vvyskynd,"{""given-name"": ""maaks"", ""surname"": ""vvyskynd""}","[{'var': 'maaks vvyskynd', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויסקינד,,,,,,,,,,מאַקס,
870,btyh vvy`rnyk,"{""given-name"": ""btyh"", ""surname"": ""vvy`rnyk""}","[{'var': 'btyh vvy`rnyk', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויערניק,,,,,,,,,,בתיה,
871,ytshk vvy`rnyk,"{""given-name"": ""ytshk"", ""surname"": ""vvy`rnyk""}","[{'var': 'ytshk vvy`rnyk', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויערניק,,,,,,,,,,יצחק,
872,vvytya (aabygdvr) vvyktaaraavv,"{""given-name"": ""aabygdvr"", ""alternative-name"": ""vvytya"", ""surname"": ""vvyktvrav""}","[{'var': 'vvytya (aabygdvr) vvyktaaraavv', 'src': 'ds', 'lang': 'en'}]",['en'],,וויטיא,,וויקטוראו,,,,,,,,,,אַביגדור,
873,vv`lvvl vvladyr,"{""primary-name"": ""vv`lvvl vvladyr"", ""given-name"": ""vv`lvvl"", ""surname"": ""vladyr""}","[{'var': 'vv`lvvl vvladyr', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ולאדיר,,,,,וועלוול וולאדיר,,,,,וועלוול,
874,b. (brvkh-nhmn tshaarny) vvlaad`k,"{""given-name"": ""brvkh-nhmn"", ""alternative-name"": ""tshaarny"", ""surname"": ""vvlaad`k"", ""honorific"": ""b.""}","[{'var': 'b. (brvkh-nhmn tshaarny) vvlaad`k', 'src': 'ds', 'lang': 'en'}]",['en'],,טשאַרני,,וולאַדעק,,,בּ.,,,,,,,ברוך-נחמן,
