id,title,var_entries,langs,lang,phoneme,primary-name,qualifier,patronymic,middle-name,professional-name,teknonym,matronymic,honorific,given-name,nisba,surname,alternative-name,salutation,appellation,acronym
553,h`rsh g`rshaanaavvytsh,"[{'var': 'h`rsh g`rshaanaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,θʃ ɡˈɑːʃn̩ˈɑːvɪtʃ,הערש גערשאַנאָוויטש,,,,,,,,הערש,,גערשאַנאָוויטש,,,,
554,s`m (shmval) g`rsht`nzaang,"[{'var': 's`m (shmval) g`rsht`nzaang', 'src': 'ds', 'lang': 'en'}]",['en'],en,sm ʃmvl̩ ɡɻʃn̩zæŋ,,,,,,,,,שמואל,,גערשטענזאַנג,סעם,,,
555,mshh g`rsh`nsaan,"[{'var': 'mshh g`rsh`nsaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,mʃh ɡɻʃnɑːn,,,,,,,,,משה,,גערשענסאָן,,,,
556,h`l`naa g`shpaas,"[{'var': 'h`l`naa g`shpaas', 'src': 'ds', 'lang': 'en'}]",['en'],en,lnə ɡʃpəz,העלענאַ געשפּאַס,,,,,,,,העלענאַ,,געשפּאַס,,,,
557,(abrhm y`kb hash-aabraamaavv),"[{'var': '(abrhm y`kb hash-aabraamaavv)', 'src': 'ds', 'lang': 'en'}]",['en'],en,əbɻm jkb hˈæʃæəbɻˈeɪæˈɑːv,,,,יעקב,,,,,אברהם,,חאש-אַבראַמאָוו,,,,
558,aan`taa graadn`r,"[{'var': 'aan`taa graadn`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɑ̃|ːŋɑː ɡɻˈɑːdn|jə|ɜ˞,,,,,,,,,אַנעטאַ,,גראַדנער,,,,
559,g`z`lshaapt,"[{'var': 'g`z`lshaapt', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɡzlʃeɪæpt,,,,,,,,,,,,,,,
560,yshral (raaz`np`ld) graadn`r,"[{'var': 'yshral (raaz`np`ld) graadn`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jʃrəl ɻˈæænpld ɡɻˈɑːdn|jə|ɜ˞,ישראל,,,,,,,,,,גראַדנער,ראָזענפעלד,,,
561,ryytsh`l (ryynaalds) graadn`r,"[{'var': 'ryytsh`l (ryynaalds) graadn`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɻɪɪtʃl ɻɪɪnɔːldz ɡɻˈɑːdn|jə|ɜ˞,רייטשעל,,,,,,,,,,גראַדנער,ריינאַלדס,,,
562,bnymyn gravbard,"[{'var': 'bnymyn gravbard', 'src': 'ds', 'lang': 'en'}]",['en'],en,bnɪmɪn ɡɻˈævbɑːd,,,,,,,,,בנימין,,גראובארד,,,,
563,dvd graall,"[{'var': 'dvd graall', 'src': 'ds', 'lang': 'en'}]",['en'],en,dvd ɡɻˈɑːɔːl,,,,,,,,,דוד,,גראָלל,,,,
564,tshaarls vv. graall,"[{'var': 'tshaarls vv. graall', 'src': 'ds', 'lang': 'en'}]",['en'],en,tʃe|ɪɑːlz vˈaɪ|dɪ|d ɡɻˈɑːɔːl,טשאַרלס וו. גראָלל,,,,,,,,טשאַרלס,,גראָלל,,,,
565,(abrhm aazaarkh),"[{'var': '(abrhm aazaarkh)', 'src': 'ds', 'lang': 'en'}]",['en'],en,əbɻm əəzˈɑːk,,,,,,,,,אברהם,,אזרך,,,,
566,aal`ksaand`r granakh,"[{'var': 'aal`ksaand`r granakh', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɔːksənɜ˞ ɡɻˈænˈɑːk,גראנאך,,,,,,,,אַלעקסאַנדער,,גראנאך,,,,
