,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
654,http://www.wikidata.org/entity/Q1066628,تشارلز دي لا سيردا,ar,tʃaːrlz diː laː sajrdaː,,,1327-01-01,1354-01-08,27,"{""name_part_0"": ""tʃaːrlz"", ""name_part_1"": ""diː"", ""name_part_2"": ""laː"", ""name_part_3"": ""sajrdaː""}"
655,http://www.wikidata.org/entity/Q2033364,ويليام دوغلاس,ar,awajljaːm duːɣlaːs,,,1327-01-01,1384-05-01,57,"{""name_part_0"": ""awajljaːm"", ""name_part_1"": ""duːɣlaːs""}"
656,http://www.wikidata.org/entity/Q12201802,تاج الدين السبكي,ar,taːdʒ aːldjn aːlsbkaj,تاج الدين ابن السبكي,عالم دين وقاضي وفقيه,1327-02-01,1370-01-09,43,"{""name_part_0"": ""taːdʒ"", ""name_part_1"": ""aːldjn"", ""name_part_2"": ""aːlsbkaj""}"
657,http://www.wikidata.org/entity/Q1459929,فريدرخ الثاني دوق النمسا,ar,freːdrx aːlθaːnaj dawq aːlnmsaː,,,1327-02-18,1344-12-04,17,"{""name_part_0"": ""freːdrx"", ""name_part_1"": ""aːlθaːnaj"", ""name_part_2"": ""dawq"", ""name_part_3"": ""aːlnmsaː""}"
658,http://www.wikidata.org/entity/Q501504,أندرو دوق كالابريا,ar,ʔndruː dawq kaːlaːbrajaː,,,1327-10-30,1345-01-01,18,"{""name_part_0"": ""ʔndruː"", ""name_part_1"": ""dawq"", ""name_part_2"": ""kaːlaːbrajaː""}"
659,http://www.wikidata.org/entity/Q1819709,ليوبولد الثاني دوق النمسا,ar,lajoːbawld aːlθaːnaj dawq aːlnmsaː,,,1328-01-01,1344-08-10,16,"{""name_part_0"": ""lajoːbawld"", ""name_part_1"": ""aːlθaːnaj"", ""name_part_2"": ""dawq"", ""name_part_3"": ""aːlnmsaː""}"
660,http://www.wikidata.org/entity/Q294139,الكامل سيف الدين شعبان,ar,kaːml sajf aːldjn ʃʕbaːn,سيف الدين شعبان بن الناصر محمد,سلطان مملوكي,1328-01-01,1346-09-29,18,"{""name_part_0"": ""kaːml"", ""name_part_1"": ""sajf"", ""name_part_2"": ""aːldjn"", ""name_part_3"": ""ʃʕbaːn""}"
661,http://www.wikidata.org/entity/Q2960499,شارل دي أرتوا,ar,ʃaːrl diː ʔrtuːaː,,,1328-01-01,1385-01-01,57,"{""name_part_0"": ""ʃaːrl"", ""name_part_1"": ""diː"", ""name_part_2"": ""ʔrtuːaː""}"
662,http://www.wikidata.org/entity/Q1042344,إليانور من البرتغال، ملكة أراغون,ar,ʔljaːnwr mn aːlbrtɣaːl mlkt ʔ|uraːɣuːn,,ملكة أراغون القرينة,1328-02-03,1348-10-29,20,"{""name_part_0"": ""ʔljaːnwr"", ""name_part_1"": ""mn"", ""name_part_2"": ""aːlbrtɣaːl"", ""name_part_3"": ""mlkt"", ""name_part_4"": ""ʔ|uraːɣuːn""}"
663,http://www.wikidata.org/entity/Q60831,لودفيغ الثاني مارغريف براندنبورغ,ar,loːdfjɣ aːlθaːnaj maːrɣrajf braːndnbawrɣ,,دوق بافاريا؛ مارغريف براندنبورغ,1328-05-15,1365-05-25,37,"{""name_part_0"": ""loːdfjɣ"", ""name_part_1"": ""aːlθaːnaj"", ""name_part_2"": ""maːrɣrajf"", ""name_part_3"": ""braːndnbawrɣ""}"
